datetime,day_type,line,weather,event_name,event_passengers_per_hr,expected_passengers_per_hr
2026-01-01T06:00,weekday,Kelana Jaya,stormy,Public Holiday,2003,2977
2026-01-01T07:00,weekday,Kelana Jaya,stormy,,0,3774
2026-01-01T08:00,weekday,Sri Petaling,clear,,0,4529
2026-01-01T09:00,weekday,Kelana Jaya,clear,,0,2263
2026-01-01T10:00,weekday,Sri Petaling,clear,,0,2522
2026-01-01T11:00,weekday,Ampang,clear,,0,2654
2026-01-01T12:00,weekday,Kelana Jaya,clear,,0,2420
2026-01-01T13:00,weekday,Kelana Jaya,clear,,0,2418
2026-01-01T14:00,weekday,Ampang,clear,,0,2673
2026-01-01T15:00,weekday,Ampang,rainy,,0,2222
2026-01-01T16:00,weekday,Kelana Jaya,rainy,,0,2073
2026-01-01T17:00,weekday,Ampang,rainy,,0,4350
2026-01-01T18:00,weekday,Sri Petaling,clear,,0,4569
2026-01-01T19:00,weekday,Kelana Jaya,stormy,,0,1919
2026-01-01T20:00,weekday,Kelana Jaya,clear,,0,2476
2026-01-01T21:00,weekday,Kelana Jaya,clear,,0,2354
2026-01-01T22:00,weekday,Sri Petaling,clear,,0,2574
2026-01-01T23:00,weekday,Sri Petaling,rainy,,0,711
2026-01-02T00:00,weekday,Ampang,clear,,0,878
2026-01-02T01:00,weekday,Sri Petaling,stormy,,0,580
2026-01-02T02:00,weekday,Kelana Jaya,clear,,0,848
2026-01-02T03:00,weekday,Ampang,cloudy,Festival,4589,5342
2026-01-02T04:00,weekday,Sri Petaling,clear,,0,861
2026-01-02T05:00,weekday,Ampang,stormy,,0,519
2026-01-02T06:00,weekday,Sri Petaling,stormy,,0,1836
2026-01-02T07:00,weekday,Sri Petaling,cloudy,,0,4483
2026-01-02T08:00,weekday,Sri Petaling,clear,,0,5255
2026-01-02T09:00,weekday,Kelana Jaya,clear,,0,2646
2026-01-02T10:00,weekday,Sri Petaling,cloudy,Marathon,3440,6202
2026-01-02T11:00,weekday,Ampang,rainy,,0,2278
2026-01-02T12:00,weekday,Sri Petaling,clear,,0,2590
2026-01-02T13:00,weekday,Ampang,rainy,,0,2057
2026-01-02T14:00,weekday,Ampang,clear,,0,2251
2026-01-02T15:00,weekday,Sri Petaling,stormy,,0,1750
2026-01-02T16:00,weekday,Sri Petaling,clear,,0,2685
2026-01-02T17:00,weekday,Sri Petaling,clear,,0,4698
2026-01-02T18:00,weekday,Kelana Jaya,clear,,0,5278
2026-01-02T19:00,weekday,Kelana Jaya,rainy,,0,2120
2026-01-02T20:00,weekday,Ampang,clear,,0,2665
2026-01-02T21:00,weekday,Kelana Jaya,clear,Festival,4878,6756
2026-01-02T22:00,weekday,Ampang,stormy,,0,1917
2026-01-02T23:00,weekday,Kelana Jaya,rainy,,0,676
2026-01-03T00:00,weekend,Kelana Jaya,rainy,,0,547
2026-01-03T01:00,weekend,Kelana Jaya,cloudy,,0,599
2026-01-03T02:00,weekend,Kelana Jaya,stormy,,0,411
2026-01-03T03:00,weekend,Sri Petaling,stormy,,0,453
2026-01-03T04:00,weekend,Kelana Jaya,cloudy,,0,520
2026-01-03T05:00,weekend,Sri Petaling,clear,,0,610
2026-01-03T06:00,weekend,Kelana Jaya,clear,,0,547
2026-01-03T07:00,weekend,Kelana Jaya,clear,,0,548
2026-01-03T08:00,weekend,Ampang,clear,,0,565
2026-01-03T09:00,weekend,Sri Petaling,clear,,0,608
2026-01-03T10:00,weekend,Kelana Jaya,cloudy,,0,605
2026-01-03T11:00,weekend,Kelana Jaya,clear,,0,1972
2026-01-03T12:00,weekend,Ampang,cloudy,,0,1987
2026-01-03T13:00,weekend,Sri Petaling,stormy,,0,1287
2026-01-03T14:00,weekend,Sri Petaling,cloudy,,0,2037
2026-01-03T15:00,weekend,Kelana Jaya,clear,,0,1979
2026-01-03T16:00,weekend,Kelana Jaya,cloudy,,0,1804
2026-01-03T17:00,weekend,Ampang,clear,,0,2142
2026-01-03T18:00,weekend,Kelana Jaya,clear,,0,2016
2026-01-03T19:00,weekend,Kelana Jaya,clear,,0,2139
2026-01-03T20:00,weekend,Ampang,clear,,0,565
2026-01-03T21:00,weekend,Kelana Jaya,cloudy,,0,513
2026-01-03T22:00,weekend,Ampang,cloudy,,0,602
2026-01-03T23:00,weekend,Ampang,clear,,0,627
2026-01-04T00:00,weekend,Sri Petaling,rainy,,0,474
2026-01-04T01:00,weekend,Kelana Jaya,clear,,0,609
2026-01-04T02:00,weekend,Kelana Jaya,rainy,,0,464
2026-01-04T03:00,weekend,Ampang,rainy,,0,545
2026-01-04T04:00,weekend,Kelana Jaya,clear,,0,549
2026-01-04T05:00,weekend,Kelana Jaya,clear,,0,621
2026-01-04T06:00,weekend,Ampang,clear,,0,646
2026-01-04T07:00,weekend,Sri Petaling,clear,,0,614
2026-01-04T08:00,weekend,Sri Petaling,cloudy,,0,572
2026-01-04T09:00,weekend,Kelana Jaya,clear,,0,577
2026-01-04T10:00,weekend,Ampang,clear,,0,617
2026-01-04T11:00,weekend,Ampang,cloudy,,0,2065
2026-01-04T12:00,weekend,Ampang,clear,,0,2025
2026-01-04T13:00,weekend,Kelana Jaya,clear,,0,2002
2026-01-04T14:00,weekend,Ampang,clear,,0,2151
2026-01-04T15:00,weekend,Ampang,clear,,0,2133
2026-01-04T16:00,weekend,Ampang,stormy,,0,1536
2026-01-04T17:00,weekend,Sri Petaling,stormy,Festival,2226,3213
2026-01-04T18:00,weekend,Kelana Jaya,clear,,0,2155
2026-01-04T19:00,weekend,Sri Petaling,stormy,,0,1338
